tag_name,name
Free to Play,Fistful of Frags
Multiplayer,Fistful of Frags
FPS,Fistful of Frags
Indie,Imagine Me
Adventure,Imagine Me
Platformer,Imagine Me
Exploration,NaissanceE
Indie,NaissanceE
Adventure,NaissanceE
RPG,Frane: Dragons' Odyssey
Action,Frane: Dragons' Odyssey
Adventure,Frane: Dragons' Odyssey
Western,Secret Ponchos
Action,Secret Ponchos
Indie,Secret Ponchos
Free to Play,Cannons Lasers Rockets
Space,Cannons Lasers Rockets
Action,Cannons Lasers Rockets
Adventure,Residue: Final Cut
Indie,Residue: Final Cut
Platformer,Residue: Final Cut
Sandbox,The Sandbox
Simulation,The Sandbox
Indie,The Sandbox
Puzzle,Hexcells
Indie,Hexcells
Casual,Hexcells
Simulation,Goat Simulator
Funny,Goat Simulator
Comedy,Goat Simulator
Adventure,Ether One
Indie,Ether One
First-Person,Ether One
Strategy,Worlds of Magic
RPG,Worlds of Magic
Turn-Based,Worlds of Magic
Rogue-like,Rogue's Tale
RPG,Rogue's Tale
Indie,Rogue's Tale
Puzzle,LYNE
Indie,LYNE
Casual,LYNE
Free to Play,DRAKERZ-Confrontation
Strategy,DRAKERZ-Confrontation
Card Game,DRAKERZ-Confrontation
Adventure,Starlite: Astronaut Rescue - Developed in Collaboration with NASA
RPG,Starlite: Astronaut Rescue - Developed in Collaboration with NASA
Simulation,Starlite: Astronaut Rescue - Developed in Collaboration with NASA
FPS,Tower of Guns
Rogue-like,Tower of Guns
Indie,Tower of Guns
Free to Play,Lost Saga NA
Anime,Lost Saga NA
Action,Lost Saga NA
Indie,Windforge
RPG,Windforge
Sandbox,Windforge
Early Access,Astral Terra
Open World,Astral Terra
Survival,Astral Terra
RPG,One Way Heroics
Rogue-like,One Way Heroics
Indie,One Way Heroics
RPG,Last Dream
Indie,Last Dream
RPGMaker,Last Dream
Indie,Procyon
Action,Procyon
Shoot 'Em Up,Procyon
Sports,Gridiron Solitaire
Casual,Gridiron Solitaire
Card Game,Gridiron Solitaire
Simulation,Helicopter Simulator 2014: Search and Rescue
Flight,Helicopter Simulator 2014: Search and Rescue
Great Soundtrack,Helicopter Simulator 2014: Search and Rescue
Game Development,GameGuru
Software,GameGuru
Design & Illustration,GameGuru
Indie,Ethan: Meteor Hunter
Platformer,Ethan: Meteor Hunter
Puzzle,Ethan: Meteor Hunter
Early Access,Calibre 10 Racing
Racing,Calibre 10 Racing
Action,Calibre 10 Racing
Simulation,Farm for your Life
Casual,Farm for your Life
Strategy,Farm for your Life
Early Access,Anarchy Arcade
Free to Play,Anarchy Arcade
Sandbox,Anarchy Arcade
Adventure,Lili: Child of Geos - Complete Edition
Female Protagonist,Lili: Child of Geos - Complete Edition
Indie,Lili: Child of Geos - Complete Edition
Card Game,Hand of Fate
RPG,Hand of Fate
Action,Hand of Fate
Strategy,Age of Mythology: Extended Edition
RTS,Age of Mythology: Extended Edition
Mythology,Age of Mythology: Extended Edition
Adventure,The Labyrinth of Time
Point & Click,The Labyrinth of Time
First-Person,The Labyrinth of Time
Casual,Gravity Badgers
Indie,Gravity Badgers
Puzzle,Gravity Badgers
Strategy,Line Of Defense Tactics - Tactical Advantage
Indie,Line Of Defense Tactics - Tactical Advantage
RPG,Line Of Defense Tactics - Tactical Advantage
Tower Defense,Beware Planet Earth
Strategy,Beware Planet Earth
Indie,Beware Planet Earth
Action,MURI
Platformer,MURI
Retro,MURI
Simulation,Airport Simulator 2014
Management,Airport Simulator 2014
Singleplayer,Airport Simulator 2014
RPG,Realms of Arkania 1 - Blade of Destiny Classic
Classic,Realms of Arkania 1 - Blade of Destiny Classic
Fantasy,Realms of Arkania 1 - Blade of Destiny Classic
Strategy,Ground Pounders
Indie,Ground Pounders
Turn-Based Strategy,Ground Pounders
Fighting,Guilty Gear Isuka
Anime,Guilty Gear Isuka
2D Fighter,Guilty Gear Isuka
Action,Gun Metal
Mechs,Gun Metal
Robots,Gun Metal
Action,Hyper Fighters
On-Rails Shooter,Hyper Fighters
Shooter,Hyper Fighters
Strategy,Hostile Waters: Antaeus Rising
Action,Hostile Waters: Antaeus Rising
Sci-fi,Hostile Waters: Antaeus Rising
Horror,The Evil Within
Survival Horror,The Evil Within
Psychological Horror,The Evil Within
Indie,Heat Signature
Space,Heat Signature
Action,Heat Signature
Strategy,Antisquad
Turn-Based,Antisquad
Action,Antisquad
Indie,Mechanic Escape
Action,Mechanic Escape
Adventure,Mechanic Escape
RPG,High Strangeness
Indie,High Strangeness
Action,High Strangeness
Racing,Krautscape
Indie,Krautscape
Multiplayer,Krautscape
Anime,Aura Kingdom
Free to Play,Aura Kingdom
MMORPG,Aura Kingdom
Action,Orc Attack: Flatulent Rebellion
Adventure,Orc Attack: Flatulent Rebellion
Indie,Orc Attack: Flatulent Rebellion
Adventure,The Whispered World Special Edition
Point & Click,The Whispered World Special Edition
Indie,The Whispered World Special Edition
Early Access,From the Depths
Sandbox,From the Depths
Building,From the Depths
Early Access,The Memory of Eldurim
RPG,The Memory of Eldurim
Action,The Memory of Eldurim
Indie,Magicite
RPG,Magicite
Rogue-like,Magicite
Adventure,Treasure Adventure World
Indie,Treasure Adventure World
Platformer,Treasure Adventure World
Utilities,EVGA Precision XOC
Software,EVGA Precision XOC
Free to Play,EVGA Precision XOC
Cyberpunk,Satellite Reign
Strategy,Satellite Reign
Sci-fi,Satellite Reign
Difficult,Cuphead
Cartoon,Cuphead
Platformer,Cuphead
RPG,Malevolence: The Sword of Ahkranox
Indie,Malevolence: The Sword of Ahkranox
Adventure,Malevolence: The Sword of Ahkranox
Early Access,You Are Not The Hero
RPG,You Are Not The Hero
Adventure,You Are Not The Hero
Action,The Dishwasher: Vampire Smile
Indie,The Dishwasher: Vampire Smile
Hack and Slash,The Dishwasher: Vampire Smile
Anime,Science Girls
RPG,Science Girls
Indie,Science Girls
Horror,Year Walk
Indie,Year Walk
Adventure,Year Walk
Indie,Super Motherload
Mining,Super Motherload
Local Co-Op,Super Motherload
VR,Sports Bar VR
Sports,Sports Bar VR
Simulation,Sports Bar VR
Early Access,Edge Of Eternity
RPG,Edge Of Eternity
JRPG,Edge Of Eternity
RPG,Hero Siege
Rogue-like,Hero Siege
Indie,Hero Siege
Action,Aces Wild: Manic Brawling Action!
Indie,Aces Wild: Manic Brawling Action!
Beat 'em up,Aces Wild: Manic Brawling Action!
Visual Novel,WORLD END ECONOMiCA episode.01
Anime,WORLD END ECONOMiCA episode.01
Indie,WORLD END ECONOMiCA episode.01
Platformer,LOVE
Indie,LOVE
Pixel Graphics,LOVE
Strategy,Infectonator: Survivors
Zombies,Infectonator: Survivors
Indie,Infectonator: Survivors
Adventure,Chronology
Indie,Chronology
Platformer,Chronology
Early Access,Montas
Horror,Montas
Adventure,Montas
Action,Reaper - Tale of a Pale Swordsman
Indie,Reaper - Tale of a Pale Swordsman
RPG,Reaper - Tale of a Pale Swordsman
Racing,Burning Cars
Audio Production,MorphVOX Pro - Voice Changer
Utilities,MorphVOX Pro - Voice Changer
Software,MorphVOX Pro - Voice Changer
Indie,Bardbarian
Strategy,Bardbarian
Tower Defense,Bardbarian
Early Access,Voice of Pripyat
Shooter,Voice of Pripyat
Action,Voice of Pripyat
Education,GTGD S1: More Than a Gamer
Software Training,GTGD S1: More Than a Gamer
Game Development,GTGD S1: More Than a Gamer
Early Access,Claustrophobia: The Downward Struggle
RPG,Claustrophobia: The Downward Struggle
Strategy,Claustrophobia: The Downward Struggle
Early Access,Arcane Worlds
Indie,Arcane Worlds
Adventure,Arcane Worlds
Cyberpunk,Dex
RPG,Dex
2D,Dex
Adventure,BADLAND: Game of the Year Edition
Indie,BADLAND: Game of the Year Edition
Action,BADLAND: Game of the Year Edition
Exploration,RymdResa
Sci-fi,RymdResa
Space,RymdResa
Indie,Tumblestone
Casual,Tumblestone
Action,Tumblestone
Sports,The Golf Club
Golf,The Golf Club
Simulation,The Golf Club
Early Access,Secrets of Grindea
RPG,Secrets of Grindea
Adventure,Secrets of Grindea
Horror,DreadOut
Indie,DreadOut
Adventure,DreadOut
Indie,Spate
Platformer,Spate
Adventure,Spate
Adventure,AR-K
Point & Click,AR-K
Female Protagonist,AR-K
Adventure,Infinite Space III: Sea of Stars
Indie,Infinite Space III: Sea of Stars
Space,Infinite Space III: Sea of Stars
Action,Snow Horse
Indie,Snow Horse
Casual,Snow Horse
Rogue-like,Quest of Dungeons
RPG,Quest of Dungeons
Indie,Quest of Dungeons
Adventure,The Girl and the Robot
Action,The Girl and the Robot
Indie,The Girl and the Robot
Indie,//N.P.P.D. RUSH//- The milk of Ultraviolet
Bullet Hell,//N.P.P.D. RUSH//- The milk of Ultraviolet
Retro,//N.P.P.D. RUSH//- The milk of Ultraviolet
Action,RUNNING WITH RIFLES
Tactical,RUNNING WITH RIFLES
Shooter,RUNNING WITH RIFLES
Short,Depression Quest
Indie,Depression Quest
Free to Play,Depression Quest
Adventure,1HEART
Indie,1HEART
Point & Click,1HEART
Music,Melody's Escape
Rhythm,Melody's Escape
Indie,Melody's Escape
Adventure,Prominence
Indie,Prominence
Casual,Prominence
Survival,Frozen State
RPG,Frozen State
Horror,Frozen State
Adventure,Ku: Shroud of the Morrigan
Indie,Ku: Shroud of the Morrigan
Action,Ku: Shroud of the Morrigan
Adventure,Cypress Inheritance: The Beginning
Action,Cypress Inheritance: The Beginning
RPG,Cypress Inheritance: The Beginning
Multiplayer,Robot Roller-Derby Disco Dodgeball
FPS,Robot Roller-Derby Disco Dodgeball
Fast-Paced,Robot Roller-Derby Disco Dodgeball
RPG,The Forest of Doom (Standalone)
Adventure,The Forest of Doom (Standalone)
Choose Your Own Adventure,The Forest of Doom (Standalone)
Action,EPOCH
Indie,EPOCH
Robots,EPOCH
Zombies,Yet Another Zombie Defense
Survival,Yet Another Zombie Defense
Multiplayer,Yet Another Zombie Defense
Horror,Long Night
Indie,Long Night
Adventure,Long Night
Adventure,Mage's Initiation: Reign of the Elements
Indie,Mage's Initiation: Reign of the Elements
Action,Mage's Initiation: Reign of the Elements
Indie,Haunt the House: Terrortown
Casual,Haunt the House: Terrortown
Cute,Haunt the House: Terrortown
RPG,Realms of Arkania 2 - Star Trail Classic
Classic,Realms of Arkania 2 - Star Trail Classic
Turn-Based,Realms of Arkania 2 - Star Trail Classic
RPG,Realms of Arkania 3 - Shadows over Riva Classic
Fantasy,Realms of Arkania 3 - Shadows over Riva Classic
Classic,Realms of Arkania 3 - Shadows over Riva Classic
Strategy,Etherlords
Turn-Based Strategy,Etherlords
RPG,Etherlords
RPG,Etherlords II
Card Game,Etherlords II
Turn-Based Strategy,Etherlords II
Indie,Jones On Fire
Casual,Jones On Fire
Action,Jones On Fire
Simulation,Global ATC Simulator
Simulation,American Truck Simulator
Driving,American Truck Simulator
Open World,American Truck Simulator
Strategy,Worms World Party Remastered
Action,Worms World Party Remastered
Indie,Worms World Party Remastered
Simulation,Ski Region Simulator - Gold Edition
Casual,Ski Region Simulator - Gold Edition
Open World,Ski Region Simulator - Gold Edition
Strategy,Offworld Trading Company - Free Multiplayer
Economy,Offworld Trading Company - Free Multiplayer
RTS,Offworld Trading Company - Free Multiplayer
Strategy,Industry Giant 2
Simulation,Industry Giant 2
Economy,Industry Giant 2
Simulation,Transport Giant
Strategy,Transport Giant
Trains,Transport Giant
Casual,Tribloos 2
Indie,Tribloos 2
Strategy,Tribloos 2
Indie,Space Farmers
Action,Space Farmers
Co-op,Space Farmers
Indie,10 Second Ninja
Action,10 Second Ninja
Platformer,10 Second Ninja
Indie,Light
Action,Light
Strategy,Light
Card Game,Card City Nights
Indie,Card City Nights
Trading Card Game,Card City Nights
Indie,Super Killer Hornet: Resurrection
Shoot 'Em Up,Super Killer Hornet: Resurrection
Bullet Hell,Super Killer Hornet: Resurrection
Puzzle,Hexcells Plus
Indie,Hexcells Plus
Casual,Hexcells Plus
Free to Play,Worlds Adrift Island Creator
Simulation,Worlds Adrift Island Creator
Indie,Worlds Adrift Island Creator
RPG,Hero and Daughter+
Nudity,Hero and Daughter+
Indie,Hero and Daughter+
RPG,Dreamscape
RPGMaker,Dreamscape
Indie,Dreamscape
RPG,Aveyond 3-1: Lord of Twilight
RPGMaker,Aveyond 3-1: Lord of Twilight
Indie,Aveyond 3-1: Lord of Twilight
Puzzle,KAMI
Casual,KAMI
Indie,KAMI
Horror,Serena
Indie,Serena
Free to Play,Serena
Action,Shadow Blade: Reload
Indie,Shadow Blade: Reload
Ninja,Shadow Blade: Reload
RPG,The Incredible Adventures of Van Helsing II
Action,The Incredible Adventures of Van Helsing II
Adventure,The Incredible Adventures of Van Helsing II
Anime,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution
Fighting,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution
Ninja,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution
Adventure,Detective Grimoire
Detective,Detective Grimoire
Indie,Detective Grimoire
Sports,Vertiginous Golf
Golf,Vertiginous Golf
Indie,Vertiginous Golf
Indie,GAUGE
Casual,GAUGE
Sports,Pro Rugby Manager 2015
Strategy,Pro Rugby Manager 2015
Simulation,Pro Rugby Manager 2015
Strategy,The Last Federation
Space,The Last Federation
Simulation,The Last Federation
Free to Play,Counter-Strike Nexon: Zombies
Zombies,Counter-Strike Nexon: Zombies
Multiplayer,Counter-Strike Nexon: Zombies
Action,Over 9000 Zombies!
Zombies,Over 9000 Zombies!
Indie,Over 9000 Zombies!
Action,Descent 3
6DOF,Descent 3
FPS,Descent 3
Simulation,Driving School Simulator
Casual,Driving School Simulator
Driving,Driving School Simulator
Racing,Formula Truck 2013
Simulation,Formula Truck 2013
Sports,Formula Truck 2013
Simulation,Towtruck Simulator 2015
Driving,Towtruck Simulator 2015
Singleplayer,Towtruck Simulator 2015
Simulation,Agricultural Simulator 2012: Deluxe Edition
Agriculture,Agricultural Simulator 2012: Deluxe Edition
Simulation,Mining & Tunneling Simulator
Mining,Mining & Tunneling Simulator
Racing,Stock Car Extreme
Simulation,Stock Car Extreme
Sports,Stock Car Extreme
Simulation,Warehouse and Logistics Simulator
Action,Warehouse and Logistics Simulator
Survival,Warehouse and Logistics Simulator
Strategy,Mechs & Mercs: Black Talons
Action,Mechs & Mercs: Black Talons
Indie,Mechs & Mercs: Black Talons
Great Soundtrack,Hotline Miami 2: Wrong Number
Gore,Hotline Miami 2: Wrong Number
Pixel Graphics,Hotline Miami 2: Wrong Number
Indie,RONIN
Action,RONIN
Turn-Based,RONIN
Skateboarding,OlliOlli
Indie,OlliOlli
Sports,OlliOlli
Action,NOT A HERO
Indie,NOT A HERO
Pixel Graphics,NOT A HERO
RPGMaker,Always Sometimes Monsters
Indie,Always Sometimes Monsters
RPG,Always Sometimes Monsters
Space,Drox Operative
Indie,Drox Operative
Action,Drox Operative
Action,Brigador: Up-Armored Edition
Mechs,Brigador: Up-Armored Edition
Indie,Brigador: Up-Armored Edition
Horror,Darkwood
Survival,Darkwood
Top-Down,Darkwood
Strategy,868-HACK
Indie,868-HACK
Rogue-like,868-HACK
Racing,Jet Car Stunts
Indie,Jet Car Stunts
Sports,Jet Car Stunts
Indie,Murder Miners
Action,Murder Miners
FPS,Murder Miners
Animation & Modeling,FaceRig
Funny,FaceRig
Video Production,FaceRig
Action,Depth
Multiplayer,Depth
Gore,Depth
Early Access,Tech Executive Tycoon
Simulation,Tech Executive Tycoon
Strategy,Tech Executive Tycoon
Education,Influent
Indie,Influent
Simulation,Influent
Simulation,Post Master
Indie,Post Master
Casual,Post Master
Survival,Shelter 2
Open World,Shelter 2
Adventure,Shelter 2
RPG,Costume Quest 2
Adventure,Costume Quest 2
Casual,Costume Quest 2
Western,Westerado: Double Barreled
Pixel Graphics,Westerado: Double Barreled
Indie,Westerado: Double Barreled
Simulation,Victorian Admirals
Naval,Victorian Admirals
Strategy,Victorian Admirals
Casual,Anmynor Puzzles
Puzzle,Anmynor Puzzles
Tower Defense,Sentinel 3: Homeworld
Strategy,Sentinel 3: Homeworld
Indie,Sentinel 3: Homeworld
Metroidvania,Guacamelee! Super Turbo Championship Edition
Action,Guacamelee! Super Turbo Championship Edition
2D,Guacamelee! Super Turbo Championship Edition
Indie,Chip
Puzzle,Chip
Strategy,Chip
Indie,Canyon Capers
Casual,Canyon Capers
Platformer,Canyon Capers
RPG,Summoner
Action,Summoner
Fantasy,Summoner
Action,"Warhammer 40,000: Kill Team"
Warhammer 40K,"Warhammer 40,000: Kill Team"
Local Co-Op,"Warhammer 40,000: Kill Team"
Casual,7 Wonders of the Ancient World
Strategy,7 Wonders of the Ancient World
Puzzle,7 Wonders of the Ancient World
Open World,No Man's Sky
Space,No Man's Sky
Exploration,No Man's Sky
Simulation,My Best Friends - Cats & Dogs
Casual,My Best Friends - Cats & Dogs
Dog,My Best Friends - Cats & Dogs
Casual,My Vet Practice - In the Country
Simulation,My Vet Practice - In the Country
Female Protagonist,My Vet Practice - In the Country
Casual,My Riding Stables: Your Horse world
Horses,My Riding Stables: Your Horse world
Simulation,My Riding Stables: Your Horse world
Casual,My Riding Stables: Life with Horses
Simulation,My Riding Stables: Life with Horses
Horses,My Riding Stables: Life with Horses
Casual,Riding Star - Horse Championship!
Simulation,Riding Star - Horse Championship!
Horses,Riding Star - Horse Championship!
Casual,My Pet Hotel
Simulation,My Pet Hotel
Family Friendly,My Pet Hotel
Casual,My Pet Hotel 2
Simulation,My Pet Hotel 2
Family Friendly,My Pet Hotel 2
Casual,Tales From The Dragon Mountain 2: The Lair
Point & Click,Tales From The Dragon Mountain 2: The Lair
Hidden Object,Tales From The Dragon Mountain 2: The Lair
Chess,Fritz Chess 14
Strategy,Fritz Chess 14
Board Game,Fritz Chess 14
Tactical,Mordheim: City of the Damned
Games Workshop,Mordheim: City of the Damned
Turn-Based,Mordheim: City of the Damned
Early Access,Dwelvers
Strategy,Dwelvers
Indie,Dwelvers
RPG,FATE: Undiscovered Realms
Action,FATE: Undiscovered Realms
Adventure,FATE: Undiscovered Realms
Indie,VIDEOBALL
Sports,VIDEOBALL
Action,VIDEOBALL
Action,Halo: Spartan Assault
Top-Down Shooter,Halo: Spartan Assault
Sci-fi,Halo: Spartan Assault
Strategy,Imperial Glory
RTS,Imperial Glory
Historical,Imperial Glory
Strategy,Praetorians
Rome,Praetorians
RTS,Praetorians
RPG,The Book of Legends
RPGMaker,The Book of Legends
Indie,The Book of Legends
Action,Battle Group 2
Indie,Battle Group 2
Strategy,Battle Group 2
Indie,Shiny The Firefly
Action,Shiny The Firefly
Adventure,Shiny The Firefly
Adventure,Albedo: Eyes from Outer Space
Action,Albedo: Eyes from Outer Space
Indie,Albedo: Eyes from Outer Space
Casual,Tales From The Dragon Mountain: The Strix
Hidden Object,Tales From The Dragon Mountain: The Strix
Point & Click,Tales From The Dragon Mountain: The Strix
Casual,Where Angels Cry
Adventure,Where Angels Cry
Point & Click,Where Angels Cry
Action,Assassin's Creed Freedom Cry
Adventure,Assassin's Creed Freedom Cry
Assassin,Assassin's Creed Freedom Cry
Strategy,Panzer Tactics HD
Simulation,Panzer Tactics HD
World War II,Panzer Tactics HD
RPG,Kult: Heretic Kingdoms
Adventure,Kult: Heretic Kingdoms
Action,Kult: Heretic Kingdoms
Puzzle,"About Love, Hate and the other ones"
Indie,"About Love, Hate and the other ones"
Casual,"About Love, Hate and the other ones"
Indie,On Rusty Trails
Platformer,On Rusty Trails
Indie,Sportsfriends
Sports,Sportsfriends
Local Multiplayer,Sportsfriends
Rogue-like,Diehard Dungeon
Action,Diehard Dungeon
Indie,Diehard Dungeon
Simulation,Mars Colony:Challenger
Space,Mars Colony:Challenger
Adventure,Mars Colony:Challenger
Adventure,Spider: Rite of the Shrouded Moon
Indie,Spider: Rite of the Shrouded Moon
Great Soundtrack,Spider: Rite of the Shrouded Moon
Simulation,0RBITALIS
Indie,0RBITALIS
Puzzle,0RBITALIS
RPGMaker,Skyborn
RPG,Skyborn
Steampunk,Skyborn
RPG,Aveyond 3-2: Gates of Night
Adventure,Aveyond 3-2: Gates of Night
Indie,Aveyond 3-2: Gates of Night
Action,JUDGEMENT SILVERSWORD - Resurrection -
Shoot 'Em Up,JUDGEMENT SILVERSWORD - Resurrection -
RPG,3 Stars of Destiny
RPGMaker,3 Stars of Destiny
Indie,3 Stars of Destiny
Simulation,A-Train 9 V4.0 : Japan Rail Simulator
Trains,A-Train 9 V4.0 : Japan Rail Simulator
Economy,A-Train 9 V4.0 : Japan Rail Simulator
Indie,Labyrinthine Dreams
RPGMaker,Labyrinthine Dreams
Adventure,Labyrinthine Dreams
RPG,Heroes of Legionwood
Indie,Heroes of Legionwood
Casual,Heroes of Legionwood
Action,TinyKeep
Indie,TinyKeep
Adventure,TinyKeep
Indie,Terrian Saga: KR-17
Action,Terrian Saga: KR-17
Adventure,Terrian Saga: KR-17
Action,LA Cops
Strategy,LA Cops
Indie,LA Cops
Action,Spaceforce Homeworld
Arcade,Spaceforce Homeworld
Shoot 'Em Up,Spaceforce Homeworld
Platformer,Angvik
Indie,Angvik
Action,Angvik
Action,GIGANTIC ARMY
Mechs,GIGANTIC ARMY
Indie,GIGANTIC ARMY
Story Rich,Digger Online
Action,Digger Online
Atmospheric,Digger Online
RPG,9th Dawn II
Adventure,9th Dawn II
Indie,9th Dawn II
Strategy,Making History: The Great War
World War I,Making History: The Great War
Simulation,Making History: The Great War
Retro,Ultionus: A Tale of Petty Revenge
Action,Ultionus: A Tale of Petty Revenge
Female Protagonist,Ultionus: A Tale of Petty Revenge
RPG,Joe Dever's Lone Wolf HD Remastered
Adventure,Joe Dever's Lone Wolf HD Remastered
Indie,Joe Dever's Lone Wolf HD Remastered
Sports,IHF Handball Challenge 14
Adventure,Nicolas Eymerich - The Inquisitor - Book 1 : The Plague
Point & Click,Nicolas Eymerich - The Inquisitor - Book 1 : The Plague
Racing,Rage Runner
Action,Rage Runner
Indie,Rage Runner
Indie,Pretentious Game
Casual,Pretentious Game
Platformer,Pretentious Game
Adventure,Dracula 4 and  5 - Special Steam Edition
Point & Click,Dracula 4 and  5 - Special Steam Edition
Puzzle,Dracula 4 and  5 - Special Steam Edition
Indie,The Troma Project
Strategy,The Troma Project
RPG,The I of the Dragon
Dragons,The I of the Dragon
Singleplayer,The I of the Dragon
Utilities,3D ParticleGen Visual FX
Video Production,3D ParticleGen Visual FX
Photo Editing,3D ParticleGen Visual FX
Hidden Object,Grim Legends 2: Song of the Dark Swan
Adventure,Grim Legends 2: Song of the Dark Swan
Casual,Grim Legends 2: Song of the Dark Swan
Adventure,Soul Axiom
Indie,Soul Axiom
Cyberpunk,Soul Axiom
Action,Infinity Runner
Indie,Infinity Runner
Werewolves,Infinity Runner
Early Access,Gunjitsu
Action,Gunjitsu
Indie,Gunjitsu
RPG,Millennium - A New Hope
Indie,Millennium - A New Hope
RPGMaker,Millennium - A New Hope
Stealth,Aragami
Ninja,Aragami
Assassin,Aragami
Parkour,Hover
Open World,Hover
Action,Hover
Action,Eterium
Indie,Eterium
Space,Eterium
Strategy,Creeper World 3: Arc Eternal
Tower Defense,Creeper World 3: Arc Eternal
Indie,Creeper World 3: Arc Eternal
RPG,Adventurer Manager
Indie,Adventurer Manager
Casual,Adventurer Manager
Indie,Pulstar
Action,Pulstar
Shooter,Pulstar
Action,KRUNCH
Indie,KRUNCH
Racing,KRUNCH
Sandbox,Crea
2D,Crea
Crafting,Crea
Turn-Based,GhostControl Inc.
Indie,GhostControl Inc.
Simulation,GhostControl Inc.
Bullet Hell,Danmaku Unlimited 2
Shoot 'Em Up,Danmaku Unlimited 2
Indie,Danmaku Unlimited 2
Vampire,BloodLust Shadowhunter
RPG,BloodLust Shadowhunter
Action,BloodLust Shadowhunter
Indie,Dark Shadows - Army of Evil
Action,Dark Shadows - Army of Evil
RPG,Dark Shadows - Army of Evil
Design & Illustration,Krita
Photo Editing,Krita
Animation & Modeling,Krita
Early Access,Imagine Earth
Strategy,Imagine Earth
Simulation,Imagine Earth
Free to Play,Creativerse
Survival,Creativerse
Multiplayer,Creativerse
Sports,Foosball - Street Edition
Indie,Foosball - Street Edition
Casual,Foosball - Street Edition
Indie,Ghostship Aftermath
Horror,Ghostship Aftermath
Action,Ghostship Aftermath
Strategy,Battlepillars Gold Edition
Action,Battlepillars Gold Edition
Indie,Battlepillars Gold Edition
Adventure,A Boy and His Blob
Puzzle-Platformer,A Boy and His Blob
Puzzle,A Boy and His Blob
Adventure,Adventure Chronicles: The Search For Lost Treasure
Hidden Object,Adventure Chronicles: The Search For Lost Treasure
Point & Click,Adventure Chronicles: The Search For Lost Treasure
Racing,Mashed
Local Multiplayer,Mashed
Action,Mashed
Horror,Real Horror Stories Ultimate Edition
Indie,Real Horror Stories Ultimate Edition
Point & Click,Real Horror Stories Ultimate Edition
Strategy,ORB
Space,ORB
RTS,ORB
Action,Ubersoldier II
FPS,Ubersoldier II
World War II,Ubersoldier II
RPG,Clans
Old School,Clans
Isometric,Clans
Strategy,Disciples Sacred Lands Gold
Turn-Based,Disciples Sacred Lands Gold
Fantasy,Disciples Sacred Lands Gold
Simulation,Wings Over Europe
Flight,Wings Over Europe
Strategy,Homeworld: Deserts of Kharak
RTS,Homeworld: Deserts of Kharak
Sci-fi,Homeworld: Deserts of Kharak
RPG,The Banner Saga 2
Strategy,The Banner Saga 2
Story Rich,The Banner Saga 2
Indie,Munin
Puzzle,Munin
Platformer,Munin
Action,Explodemon
Indie,Explodemon
Casual,Explodemon
Indie,4PM
Walking Simulator,4PM
Female Protagonist,4PM
Shoot 'Em Up,RefleX
Indie,RefleX
Action,RefleX
Action,Splatter - Zombie Apocalypse
Indie,Splatter - Zombie Apocalypse
Zombies,Splatter - Zombie Apocalypse
Space,Stellaris
Strategy,Stellaris
Grand Strategy,Stellaris
Racing,Carmageddon 2: Carpocalypse Now
Action,Carmageddon 2: Carpocalypse Now
Indie,Carmageddon 2: Carpocalypse Now
Racing,MX vs. ATV Supercross Encore
Sports,MX vs. ATV Supercross Encore
Motocross,MX vs. ATV Supercross Encore
Survival,This War of Mine
War,This War of Mine
Atmospheric,This War of Mine
Horror,SOMA
Atmospheric,SOMA
Story Rich,SOMA
Strategy,Sid Meier's Starships
Space,Sid Meier's Starships
Turn-Based Strategy,Sid Meier's Starships
Strategy,SuperPower 2 Steam Edition
Simulation,SuperPower 2 Steam Edition
Politics,SuperPower 2 Steam Edition
Strategy,Star Ruler 2
4X,Star Ruler 2
Space,Star Ruler 2
Simulation,The Battle of Sol
Action,The Battle of Sol
Indie,The Battle of Sol
Indie,LOST ORBIT
Action,LOST ORBIT
Space,LOST ORBIT
Strategy,Warring States
Indie,Warring States
Turn-Based,Warring States
Music,Circuits
Indie,Circuits
Puzzle,Circuits
Action,Stick 'Em Up 2: Paper Adventures
Adventure,Stick 'Em Up 2: Paper Adventures
Indie,Stick 'Em Up 2: Paper Adventures
Anime,100% Orange Juice
Board Game,100% Orange Juice
Cute,100% Orange Juice
Action,Masterspace
Simulation,Masterspace
RPG,Masterspace
Early Access,FaeVerse Alchemy
Casual,FaeVerse Alchemy
Indie,FaeVerse Alchemy
Strategy,Strategic War in Europe
Indie,Strategic War in Europe
World War II,Strategic War in Europe
Strategy,The Campaign Series: Fall Weiss
Indie,The Campaign Series: Fall Weiss
World War II,The Campaign Series: Fall Weiss
Indie,Paper Dungeons
RPG,Paper Dungeons
Adventure,Paper Dungeons
Free to Play,Lucent Heart
Anime,Lucent Heart
RPG,Lucent Heart
Action,Super Chibi Knight
Adventure,Super Chibi Knight
Indie,Super Chibi Knight
Early Access,Colonies Online
Massively Multiplayer,Colonies Online
Action,Colonies Online
Action,House of the Dying Sun
Indie,House of the Dying Sun
Simulation,House of the Dying Sun
Adventure,The Samaritan Paradox
Indie,The Samaritan Paradox
Point & Click,The Samaritan Paradox
Strategy,Jagged Alliance 1: Gold Edition
